Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
LV00,2010,988718,1483077,15656,23484,503320,754980,0,0
LV00,2011,990049,1485074,15334,23002,507981,761972,0,0
LV00,2012,991381,1487072,15013,22520,512642,768964,0,0
LV00,2013,992712,1489069,14692,22038,517304,775956,0,0
LV00,2014,994044,1491066,14370,21556,521965,782948,0,0
LV00,2015,995376,1493064,14049,21074,526627,789940,0,0
LV00,2016,993708,1490562,13556,20334,530376,795564,0,0
LV00,2017,992041,1488061,13063,19594,534125,801187,0,0
LV00,2018,990373,1485560,12569,18854,537874,806811,0,0
LV00,2019,988706,1483059,12076,18114,541623,812434,0,0
LV00,2020,987039,1480558,11583,17374,545372,818058,0,0
LV00,2021,989143,1483714,11213,16820,545348,818022,0,0
LV00,2022,991247,1486870,10844,16266,545324,817986,0,0
LV00,2023,993351,1490026,10475,15713,545300,817950,0,0
LV00,2024,995455,1493182,10106,15159,545276,817914,0,0
LV00,2025,997559,1496338,9736,14605,545252,817879,0,0
LV00,2026,998971,1498456,9547,14321,545977,818965,0,0
LV00,2027,1000383,1500574,9358,14037,546701,820052,0,0
LV00,2028,1001795,1502692,9169,13754,547425,821138,0,0
LV00,2029,1003207,1504810,8980,13470,548150,822225,0,0
LV00,2030,1004619,1506928,8791,13186,548874,823311,0,0
LV00,2031,1004043,1506065,8725,13088,551688,827532,0,0
LV00,2032,1003468,1505202,8659,12989,554502,831754,0,0
LV00,2033,1002892,1504338,8593,12890,557317,835975,0,0
LV00,2034,1002317,1503475,8528,12792,560131,840197,0,0
LV00,2035,1001741,1502612,8462,12693,562945,844418,0,0
LV00,2036,1003909,1505864,8486,12730,563017,844526,0,0
LV00,2037,1006078,1509117,8511,12767,563089,844633,0,0
LV00,2038,1008246,1512369,8535,12803,563161,844741,0,0
LV00,2039,1010414,1515622,8560,12840,563232,844849,0,0
LV00,2040,1012583,1518874,8584,12877,563304,844957,0,0
LV00,2041,1016117,1524175,8642,12964,561943,842915,0,0
LV00,2042,1019651,1529476,8700,13050,560582,840873,0,0
LV00,2043,1023184,1534777,8758,13137,559221,838832,0,0
LV00,2044,1026718,1540078,8816,13224,557860,836790,0,0
LV00,2045,1030252,1545379,8874,13311,556499,834748,0,0
LV00,2046,1032233,1548350,8952,13428,556719,835079,0,0
LV00,2047,1034214,1551321,9029,13544,556940,835410,0,0
LV00,2048,1036195,1554292,9107,13660,557160,835740,0,0
LV00,2049,1038176,1557264,9184,13777,557381,836071,0,0
LV00,2050,1040156,1560235,9262,13893,557601,836402,0,0
LV00,2051,1041767,1562651,9292,13939,555977,833966,0,0
LV00,2052,1043378,1565067,9323,13984,554353,831529,0,0
LV00,2053,1044989,1567484,9353,14030,552729,829093,0,0
LV00,2054,1046600,1569900,9384,14076,551104,826657,0,0
LV00,2055,1048211,1572316,9414,14121,549480,824221,0,0
LV00,2056,1049849,1574774,9446,14169,547844,821767,0,0
LV00,2057,1051487,1577231,9477,14216,546209,819313,0,0
LV00,2058,1053125,1579688,9509,14264,544573,816859,0,0
LV00,2059,1054764,1582146,9541,14311,542937,814406,0,0
LV00,2060,1056402,1584603,9572,14359,541301,811952,0,0
LV00,2061,1058003,1587004,9575,14362,539678,809517,0,0
LV00,2062,1059603,1589405,9577,14365,538055,807083,0,0
LV00,2063,1061204,1591806,9579,14369,536432,804648,0,0
LV00,2064,1062804,1594207,9581,14372,534809,802214,0,0
LV00,2065,1064405,1596608,9584,14376,533186,799779,0,0
LV00,2066,1066601,1599902,9585,14378,530983,796475,0,0
LV00,2067,1068798,1603197,9586,14380,528780,793170,0,0
LV00,2068,1070994,1606491,9588,14382,526577,789865,0,0
LV00,2069,1073190,1609786,9589,14384,524374,786561,0,0
LV00,2070,1075387,1613080,9591,14386,522171,783256,0,0
