Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
CZ00,2010,2313132,3469698,46300,69450,753221,1129832,0,0
CZ00,2011,2308566,3462849,46570,69855,758221,1137332,0,0
CZ00,2012,2304000,3456001,46841,70261,763221,1144832,0,0
CZ00,2013,2299435,3449152,47111,70667,768222,1152333,0,0
CZ00,2014,2294869,3442304,47382,71073,773222,1159833,0,0
CZ00,2015,2290304,3435456,47652,71479,778222,1167333,0,0
CZ00,2016,2281356,3422035,46807,70211,784968,1177452,49,74
CZ00,2017,2272409,3408614,45962,68943,791714,1187571,99,148
CZ00,2018,2263462,3395194,45116,67675,798460,1197690,148,223
CZ00,2019,2254515,3381773,44271,66407,805206,1207810,198,297
CZ00,2020,2245568,3368353,43426,65139,811952,1217929,248,372
CZ00,2021,2231654,3347482,42724,64086,816247,1224371,385,578
CZ00,2022,2217740,3326611,42021,63032,820542,1230814,523,784
CZ00,2023,2203827,3305740,41319,61978,824837,1237256,660,991
CZ00,2024,2189913,3284869,40616,60925,829132,1243699,798,1197
CZ00,2025,2175999,3263998,39914,59871,833428,1250142,936,1404
CZ00,2026,2168454,3252682,39257,58885,833757,1250636,1063,1595
CZ00,2027,2160910,3241365,38600,57900,834087,1251130,1191,1786
CZ00,2028,2153366,3230049,37943,56914,834416,1251625,1318,1977
CZ00,2029,2145821,3218732,37285,55928,834746,1252119,1446,2169
CZ00,2030,2138277,3207416,36628,54943,835076,1252614,1573,2360
CZ00,2031,2120280,3180420,36371,54557,847197,1270796,1574,2361
CZ00,2032,2102282,3153423,36114,54172,859318,1288978,1574,2361
CZ00,2033,2084284,3126427,35857,53786,871440,1307160,1575,2362
CZ00,2034,2066287,3099430,35600,53401,883561,1325342,1575,2363
CZ00,2035,2048289,3072434,35344,53016,895683,1343524,1576,2364
CZ00,2036,2032344,3048517,35120,52680,905808,1358712,1610,2415
CZ00,2037,2016400,3024600,34897,52345,915934,1373901,1644,2466
CZ00,2038,2000455,3000682,34673,52010,926059,1389089,1678,2517
CZ00,2039,1984510,2976765,34450,51675,936184,1404277,1712,2568
CZ00,2040,1968565,2952848,34227,51340,946310,1419465,1746,2619
CZ00,2041,1959866,2939800,33901,50852,949222,1423833,1889,2834
CZ00,2042,1951168,2926752,33575,50363,952134,1428201,2032,3048
CZ00,2043,1942469,2913704,33249,49874,955046,1432569,2175,3263
CZ00,2044,1933770,2900656,32924,49386,957958,1436937,2318,3477
CZ00,2045,1925072,2887608,32598,48897,960870,1441305,2461,3692
CZ00,2046,1919912,2879868,32297,48445,960270,1440405,11964,17946
CZ00,2047,1914752,2872128,31995,47993,959670,1439505,21467,32201
CZ00,2048,1909592,2864388,31694,47541,959069,1438604,30970,46456
CZ00,2049,1904432,2856648,31393,47089,958469,1437704,40473,60710
CZ00,2050,1899272,2848909,31092,46638,957869,1436804,49976,74965
CZ00,2051,1891117,2836676,30941,46412,960373,1440560,52867,79300
CZ00,2052,1882962,2824443,30791,46187,962877,1444316,55757,83635
CZ00,2053,1874807,2812210,30641,45961,965381,1448072,58647,87971
CZ00,2054,1866652,2799978,30491,45736,967885,1451828,61537,92306
CZ00,2055,1858496,2787745,30340,45511,970389,1455584,64428,96642
CZ00,2056,1850525,2775788,30308,45462,972720,1459080,65048,97573
CZ00,2057,1842554,2763831,30276,45414,975050,1462575,65669,98504
CZ00,2058,1834583,2751874,30244,45366,977380,1466071,66290,99435
CZ00,2059,1826612,2739918,30212,45318,979711,1469566,66911,100366
CZ00,2060,1818640,2727961,30180,45270,982041,1473062,67532,101298
CZ00,2061,1807047,2710571,30200,45300,988038,1482057,68117,102176
CZ00,2062,1795454,2693182,30220,45330,994034,1491051,68703,103055
CZ00,2063,1783861,2675792,30240,45360,1000031,1500046,69289,103934
CZ00,2064,1772268,2658403,30260,45390,1006027,1509041,69875,104813
CZ00,2065,1760676,2641014,30280,45421,1012024,1518036,70461,105692
CZ00,2066,1744265,2616397,30429,45643,1022886,1534329,69250,103875
CZ00,2067,1727854,2591781,30577,45866,1033749,1550623,68039,102058
CZ00,2068,1711443,2567165,30726,46089,1044611,1566917,66828,100242
CZ00,2069,1695032,2542548,30874,46312,1055474,1583211,65616,98425
CZ00,2070,1678621,2517932,31023,46534,1066336,1599505,64405,96608
CZ01,2010,6603,9904,195,292,24,36,0,0
CZ01,2011,6562,9843,220,330,24,37,0,0
CZ01,2012,6520,9781,245,368,25,38,0,0
CZ01,2013,6479,9719,271,406,26,39,0,0
CZ01,2014,6438,9658,296,444,27,40,0,0
CZ01,2015,6397,9596,321,482,28,42,0,0
CZ01,2016,6384,9577,310,466,33,50,0,0
CZ01,2017,6372,9558,299,449,38,58,0,0
CZ01,2018,6359,9538,288,433,44,66,0,0
CZ01,2019,6346,9519,278,417,49,74,0,0
CZ01,2020,6333,9500,267,400,55,82,0,0
CZ01,2021,6270,9405,258,387,54,81,0,0
CZ01,2022,6206,9309,249,373,53,80,0,0
CZ01,2023,6143,9214,240,360,52,79,0,1
CZ01,2024,6079,9119,231,347,52,78,1,1
CZ01,2025,6016,9024,222,333,51,76,1,2
CZ01,2026,5961,8941,214,321,51,76,1,2
CZ01,2027,5906,8859,205,308,51,76,2,3
CZ01,2028,5851,8777,197,296,51,76,2,3
CZ01,2029,5796,8694,189,283,51,76,2,4
CZ01,2030,5741,8612,180,271,51,76,3,4
CZ01,2031,5678,8518,180,270,50,76,3,4
CZ01,2032,5615,8423,180,270,50,75,3,4
CZ01,2033,5552,8329,180,270,49,74,3,4
CZ01,2034,5490,8235,180,270,49,73,3,4
CZ01,2035,5427,8140,180,270,48,73,3,4
CZ01,2036,5356,8034,169,254,49,74,3,5
CZ01,2037,5285,7928,159,239,50,76,3,5
CZ01,2038,5215,7822,149,223,51,77,3,5
CZ01,2039,5144,7716,139,208,52,78,3,5
CZ01,2040,5073,7610,128,193,53,80,4,6
CZ01,2041,5066,7600,137,206,53,80,4,6
CZ01,2042,5059,7589,146,220,54,81,4,7
CZ01,2043,5052,7579,155,233,54,81,5,8
CZ01,2044,5046,7569,164,246,54,82,5,8
CZ01,2045,5039,7558,173,260,55,82,6,9
CZ01,2046,4988,7483,172,258,56,84,31,46
CZ01,2047,4938,7407,170,256,57,86,56,84
CZ01,2048,4888,7332,169,253,58,87,80,121
