Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
LV00,2010,988718,1483077,15656,23484,503320,754980,0,0
LV00,2011,990049,1485074,15334,23002,507981,761972,0,0
LV00,2012,991381,1487072,15013,22520,512642,768964,0,0
LV00,2013,992712,1489069,14692,22038,517304,775956,0,0
LV00,2014,994044,1491066,14370,21556,521965,782948,0,0
LV00,2015,995376,1493064,14049,21074,526627,789940,0,0
LV00,2016,993708,1490562,13556,20334,530376,795564,0,0
LV00,2017,992041,1488061,13063,19594,534125,801187,0,0
LV00,2018,990373,1485560,12569,18854,537874,806811,0,0
LV00,2019,988706,1483059,12076,18114,541623,812434,0,0
LV00,2020,987039,1480558,11583,17374,545372,818058,0,0
LV00,2021,989143,1483714,11213,16820,545348,818022,0,0
LV00,2022,991247,1486870,10844,16266,545324,817986,0,0
LV00,2023,993351,1490026,10475,15713,545300,817950,0,0
LV00,2024,995455,1493182,10106,15159,545276,817914,0,0
LV00,2025,997559,1496338,9736,14605,545252,817879,0,0
LV00,2026,998971,1498456,9708,14562,545977,818965,160,241
LV00,2027,1000383,1500574,9680,14520,546701,820052,321,482
LV00,2028,1001795,1502692,9652,14478,547425,821138,482,724
LV00,2029,1003207,1504810,9624,14436,548150,822225,643,965
LV00,2030,1004619,1506928,9596,14394,548874,823311,804,1207
LV00,2031,1004043,1506065,9607,14410,551688,827532,881,1322
LV00,2032,1003468,1505202,9618,14427,554502,831754,958,1438
LV00,2033,1002892,1504338,9629,14444,557317,835975,1035,1553
LV00,2034,1002317,1503475,9640,14461,560131,840197,1112,1668
LV00,2035,1001741,1502612,9652,14478,562945,844418,1189,1784
LV00,2036,1003909,1505864,9788,14683,563017,844526,1301,1952
LV00,2037,1006078,1509117,9925,14888,563089,844633,1414,2121
LV00,2038,1008246,1512369,10062,15093,563161,844741,1526,2289
LV00,2039,1010414,1515622,10199,15298,563232,844849,1638,2458
LV00,2040,1012583,1518874,10336,15504,563304,844957,1751,2626
LV00,2041,1016117,1524175,10823,16235,561943,842915,2180,3271
LV00,2042,1019651,1529476,11311,16967,560582,840873,2610,3916
LV00,2043,1023184,1534777,11799,17698,559221,838832,3040,4560
LV00,2044,1026718,1540078,12286,18430,557860,836790,3470,5205
LV00,2045,1030252,1545379,12774,19161,556499,834748,3900,5850
LV00,2046,1032233,1548350,12849,19273,556719,835079,3897,5845
LV00,2047,1034214,1551321,12923,19385,556940,835410,3894,5841
LV00,2048,1036195,1554292,12998,19497,557160,835740,3891,5837
LV00,2049,1038176,1557264,13073,19609,557381,836071,3888,5832
LV00,2050,1040156,1560235,13148,19722,557601,836402,3885,5828
LV00,2051,1041767,1562651,12972,19458,555977,833966,3679,5518
LV00,2052,1043378,1565067,12796,19194,554353,831529,3472,5209
LV00,2053,1044989,1567484,12620,18930,552729,829093,3266,4899
LV00,2054,1046600,1569900,12444,18666,551104,826657,3060,4590
LV00,2055,1048211,1572316,12268,18402,549480,824221,2853,4280
LV00,2056,1049849,1574774,12333,18499,547844,821767,2887,4330
LV00,2057,1051487,1577231,12398,18597,546209,819313,2920,4380
LV00,2058,1053125,1579688,12463,18695,544573,816859,2953,4430
LV00,2059,1054764,1582146,12528,18792,542937,814406,2987,4481
LV00,2060,1056402,1584603,12593,18890,541301,811952,3020,4531
LV00,2061,1058003,1587004,12622,18933,539678,809517,3047,4571
LV00,2062,1059603,1589405,12651,18977,538055,807083,3074,4611
LV00,2063,1061204,1591806,12680,19020,536432,804648,3100,4651
LV00,2064,1062804,1594207,12709,19064,534809,802214,3127,4691
LV00,2065,1064405,1596608,12738,19107,533186,799779,3154,4731
LV00,2066,1066601,1599902,12772,19159,530983,796475,3187,4781
LV00,2067,1068798,1603197,12807,19211,528780,793170,3220,4830
LV00,2068,1070994,1606491,12842,19263,526577,789865,3253,4880
LV00,2069,1073190,1609786,12876,19314,524374,786561,3286,4930
LV00,2070,1075387,1613080,12911,19366,522171,783256,3320,4980
