Region,Year,ForestAreaOriginal,ForestsMatMin,ForestsMatMax,ForestsYoMin,ForestsYoMax,ForestsPlMin,ForestsPlMax
SK,2000,1903564.75,1332495,2474634,0,999000000,0,999000000
SK,2001,1904592.845,1333214,2475970,0,999000000,0,999000000
SK,2002,1905620.941,1333934,2477307,0,999000000,0,999000000
SK,2003,1906649.036,1334654,2478643,0,999000000,0,999000000
SK,2004,1907677.132,1335373,2479980,0,999000000,0,999000000
SK,2005,1908705.227,1336093,2481316,0,999000000,0,999000000
SK,2006,1909811.269,1336867,2482754,0,999000000,0,999000000
SK,2007,1910917.31,1337642,2484192,0,999000000,0,999000000
SK,2008,1912023.352,1338416,2485630,0,999000000,0,999000000
SK,2009,1913129.394,1339190,2487068,0,999000000,0,999000000
SK,2010,1914235.436,1339964,2488506,0,999000000,0,999000000
SK,2011,1915425.465,1340797,2490053,0,999000000,0,999000000
SK,2012,1916615.494,1341630,2491600,0,999000000,0,999000000
SK,2013,1917805.523,1342463,2493147,0,999000000,0,999000000
SK,2014,1918995.553,1343296,2494694,0,999000000,0,999000000
SK,2015,1920185.582,1344129,2496241,0,999000000,0,999000000
SK,2016,1921450.566,1345015,2497885,0,999000000,0,999000000
SK,2017,1922715.55,1345900,2499530,0,999000000,0,999000000
SK,2018,1923980.534,1346786,2501174,0,999000000,0,999000000
SK,2019,1925245.518,1347671,2502819,0,999000000,0,999000000
SK,2020,1926510.502,1348557,2504463,0,999000000,0,999000000
SK,2021,1927840.162,1349488,2506192,0,999000000,0,999000000
SK,2022,1929169.822,1350418,2507920,0,999000000,0,999000000
SK,2023,1930499.481,1351349,2509649,0,999000000,0,999000000
SK,2024,1931829.141,1352280,2511377,0,999000000,0,999000000
SK,2025,1933158.801,1353211,2513106,0,999000000,0,999000000
SK,2026,1934540.222,1354178,2514902,0,999000000,0,999000000
SK,2027,1935921.643,1355145,2516698,0,999000000,0,999000000
SK,2028,1937303.064,1356112,2518493,0,999000000,0,999000000
SK,2029,1938684.485,1357079,2520289,0,999000000,0,999000000
SK,2030,1940065.906,1358046,2522085,0,999000000,0,999000000
SK,2031,1941486.385,1359040,2523932,0,999000000,0,999000000
SK,2032,1942906.864,1360034,2525778,0,999000000,0,999000000
SK,2033,1944327.343,1361029,2527625,0,999000000,0,999000000
SK,2034,1945747.822,1362023,2529472,0,999000000,0,999000000
SK,2035,1947168.301,1363017,2531318,0,999000000,0,999000000
SK,2036,1948617.348,1364032,2533202,0,999000000,0,999000000
SK,2037,1950066.396,1365046,2535086,0,999000000,0,999000000
SK,2038,1951515.444,1366060,2536970,0,999000000,0,999000000
SK,2039,1952964.491,1367075,2538853,0,999000000,0,999000000
SK,2040,1954413.539,1368089,2540737,0,999000000,0,999000000
SK,2041,1955843.763,1369090,2542596,0,999000000,0,999000000
SK,2042,1957273.988,1370091,2544456,0,999000000,0,999000000
SK,2043,1958704.212,1371092,2546315,0,999000000,0,999000000
SK,2044,1960134.436,1372094,2548174,0,999000000,0,999000000
SK,2045,1961564.66,1373095,2550034,0,999000000,0,999000000
SK,2046,1962950.345,1374065,2551835,0,999000000,0,999000000
SK,2047,1964336.03,1375035,2553636,0,999000000,0,999000000
SK,2048,1965721.716,1376005,2555438,0,999000000,0,999000000
SK,2049,1967107.401,1376975,2557239,0,999000000,0,999000000
SK,2050,1968493.086,1377945,2559041,0,999000000,0,999000000
SK,2051,1969794.391,1378856,2560732,0,999000000,0,999000000
SK,2052,1971095.695,1379766,2562424,0,999000000,0,999000000
SK,2053,1972397,1380677,2564116,0,999000000,0,999000000
SK,2054,1973698.305,1381588,2565807,0,999000000,0,999000000
SK,2055,1974999.609,1382499,2567499,0,999000000,0,999000000
SK,2056,1976306.15,1383414,2569197,0,999000000,0,999000000
SK,2057,1977612.691,1384328,2570896,0,999000000,0,999000000
SK,2058,1978919.231,1385243,2572595,0,999000000,0,999000000
SK,2059,1980225.772,1386158,2574293,0,999000000,0,999000000
SK,2060,1981532.313,1387072,2575992,0,999000000,0,999000000
SK,2061,1982842.577,1387989,2577695,0,999000000,0,999000000
SK,2062,1984152.841,1388906,2579398,0,999000000,0,999000000
SK,2063,1985463.105,1389824,2581102,0,999000000,0,999000000
SK,2064,1986773.369,1390741,2582805,0,999000000,0,999000000
SK,2065,1988083.633,1391658,2584508,0,999000000,0,999000000
SK,2066,1989396.889,1392577,2586215,0,999000000,0,999000000
SK,2067,1990710.145,1393497,2587923,0,999000000,0,999000000
SK,2068,1992023.402,1394416,2589630,0,999000000,0,999000000
SK,2069,1993336.658,1395335,2591337,0,999000000,0,999000000
SK,2070,1994649.914,1396254,2593044,0,999000000,0,999000000
